YYYY-MM-DD       JulianDate          Filter  Target
2018-04-02       2458211.23521       R       3C273       
2018-04-02       2458211.23747       R       3C273       
2018-04-02       2458211.25025       R       3C279       
2018-04-02       2458211.25252       R       3C279       
2018-04-02       2458211.35041       R       3C345       
2018-04-02       2458211.35265       R       3C345       
2018-04-02       2458211.36160       R       3C371       
2018-04-02       2458211.24044       R       4C29-45     
2018-04-02       2458211.24270       R       4C29-45     
2018-04-02       2458211.34125       R       4C38-41     
2018-04-02       2458211.34351       R       4C38-41     
2018-04-02       2458211.35649       R       4C51-37     
2018-04-02       2458211.35874       R       4C51-37     
2018-04-02       2458211.22002       R       4C71-07     
2018-04-02       2458211.22228       R       4C71-07     
2018-04-02       2458211.33603       R       DA406       
2018-04-02       2458211.33829       R       DA406       
2018-04-02       2458211.36700       R       BL-Lacertae  
2018-04-02       2458211.36925       R       BL-Lacertae  
2018-04-02       2458211.22988       R       Mkn421      
2018-04-02       2458211.23214       R       Mkn421      
2018-04-02       2458211.34582       R       Mkn501      
2018-04-02       2458211.34806       R       Mkn501      
2018-04-02       2458211.21176       R       OJ287       
2018-04-02       2458211.24503       R       ON231       
2018-04-02       2458211.24728       R       ON231       
2018-04-02       2458211.22470       R       S4_0954+65  
2018-04-02       2458211.22694       R       S4_0954+65  
2018-04-02       2458211.20615       R       S5_0716+71  
2018-04-03       2458212.03772       R       3C273       
2018-04-03       2458212.03997       R       3C273       
2018-04-03       2458212.05265       R       3C279       
2018-04-03       2458212.04289       R       4C29-45     
2018-04-03       2458212.04515       R       4C29-45     
2018-04-03       2458212.02147       R       4C71-07     
2018-04-03       2458212.02373       R       4C71-07     
2018-04-03       2458212.03243       R       Mkn421      
2018-04-03       2458212.03470       R       Mkn421      
2018-04-03       2458212.00598       R       OJ248       
2018-04-03       2458212.00828       R       OJ248       
2018-04-03       2458212.01063       R       OJ287       
2018-04-03       2458212.01286       R       OJ287       
2018-04-03       2458212.01569       R       OJ49        
2018-04-03       2458212.01795       R       OJ49        
2018-04-03       2458212.04747       R       ON231       
2018-04-03       2458212.04971       R       ON231       
2018-04-03       2458212.00083       R       PKS0735+17  
2018-04-03       2458212.00309       R       PKS0735+17  
2018-04-03       2458212.02700       R       S4_0954+65  
2018-04-03       2458212.02924       R       S4_0954+65  
2018-04-03       2458211.99503       R       S5_0716+71  
2018-04-03       2458211.99728       R       S5_0716+71  
2018-04-04       2458213.15244       R       3C273       
2018-04-04       2458213.15470       R       3C273       
2018-04-04       2458213.17132       R       3C279       
2018-04-04       2458213.17356       R       3C279       
2018-04-04       2458213.35556       R       3C345       
2018-04-04       2458213.35787       R       3C345       
2018-04-04       2458213.15762       R       4C29-45     
2018-04-04       2458213.15986       R       4C29-45     
2018-04-04       2458213.34622       R       4C38-41     
2018-04-04       2458213.34856       R       4C38-41     
2018-04-04       2458213.36777       R       4C51-37     
2018-04-04       2458213.37002       R       4C51-37     
2018-04-04       2458213.13032       R       4C71-07     
2018-04-04       2458213.13257       R       4C71-07     
2018-04-04       2458213.18295       R       DA406       
