1.ID|2.DateObs|3.TimeObs|4.Filename|5.Object|6.RA_hhmmss|7.DEC_ddmmss|8.RA_deg|9.DEC_deg|10.RA_pix|11.Dec_pix|12.FilterName|13.JD|14.ExpTime_sec|15.Zmag|16.FWHM|17.Altitude|18.Airmass
1|2020-08-06|17:27:56|3C371-20200806@172751-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1045.8155|1073.4554|R_Astrodon_2018|2459068.2277314817|180.0|20.9478|2.3898|29.8781|2.0166
2|2020-08-06|17:31:11|3C371-20200806@173110-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1046.1063|1074.0759|R_Astrodon_2018|2459068.229988426|180.0|20.8297|2.3437|29.6043|2.0337
3|2020-08-06|17:50:34|3C66A-20200806@175029-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|996.6969|1039.8001|R_Astrodon_2018|2459068.243449074|180.0|21.6293|2.2689|43.6186|1.4393
4|2020-08-06|18:31:41|3C66A-20200806@183135-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|990.0682|1048.9463|R_Astrodon_2018|2459068.2720023147|180.0|21.6276|1.9685|50.9772|1.2808
5|2020-08-06|17:20:24|4C51-37-20200806@172020-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1022.2188|1023.8252|R_Astrodon_2018|2459068.2225|180.0|21.3003|2.5108|29.5273|2.0473
6|2020-08-06|17:23:39|4C51-37-20200806@172338-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1022.8172|1024.4331|R_Astrodon_2018|2459068.2247569445|180.0|21.2330|2.3928|29.0280|2.0798
7|2020-08-06|18:24:05|AO0235+16-20200806@182400-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1092.4012|894.5133|R_Astrodon_2018|2459068.266724537|180.0|21.7104|2.1628|45.4901|1.3898
8|2020-08-06|18:27:20|AO0235+16-20200806@182720-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1091.9744|892.8977|R_Astrodon_2018|2459068.2689814814|180.0|21.7078|2.0320|46.2374|1.3726
9|2020-08-06|17:36:52|CTA102-20200806@173647-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1022.9455|1023.0971|R_Astrodon_2018|2459068.2339351852|180.0|20.4887|2.1808|77.9937|1.0224
10|2020-08-06|17:40:06|CTA102-20200806@174006-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1024.3565|1021.9773|R_Astrodon_2018|2459068.2361805555|180.0|20.9782|2.2034|77.8083|1.0232
11|2020-08-06|18:15:55|ES2344+514-20200806@181550-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1022.3498|1027.7695|R_Astrodon_2018|2459068.261053241|180.0|21.7072|2.3716|61.3673|1.1394
12|2020-08-06|18:19:11|ES2344+514-20200806@181910-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1022.3878|1030.3359|R_Astrodon_2018|2459068.263321759|180.0|21.6972|2.3575|61.4650|1.1385
13|2020-08-06|18:06:46|L-Lacertae-20200806@180641-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1021.6432|1023.4186|R_Astrodon_2018|2459068.254699074|180.0|21.4784|2.1868|66.1704|1.0960
14|2020-08-06|18:10:01|L-Lacertae-20200806@181001-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1021.7085|1022.7167|R_Astrodon_2018|2459068.2569560185|180.0|21.4685|2.1374|65.7503|1.0997
15|2020-08-07|14:38:38|3C345-20200807@143833-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1024.3943|1035.2450|R_Astrodon_2018|2459069.110162037|180.0|20.9243|2.4785|47.8332|1.3576
16|2020-08-07|14:41:53|3C345-20200807@144152-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1024.6005|1036.8790|R_Astrodon_2018|2459069.1124189813|180.0|20.9307|2.4861|47.2137|1.3714
17|2020-08-07|14:53:38|3C371-20200807@145333-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1034.1506|1078.7254|R_Astrodon_2018|2459069.120578704|180.0|21.3779|2.9813|40.5476|1.5410
18|2020-08-07|14:56:53|3C371-20200807@145652-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1033.5431|1078.1030|R_Astrodon_2018|2459069.1228356482|180.0|21.3904|2.9819|40.3804|1.5464
19|2020-08-07|15:09:11|3C454-3-20200807@150911-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.6192|1030.8454|R_Astrodon_2018|2459069.1313773147|180.0|20.7674|2.5353|52.9582|1.2437
20|2020-08-07|15:12:25|3C454-3-20200807@151224-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.8366|1030.5175|R_Astrodon_2018|2459069.133622685|180.0|20.7853|2.5071|53.6996|1.2320
21|2020-08-07|14:20:51|4C38-41-20200807@142047-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1022.0759|1024.1334|R_Astrodon_2018|2459069.0978125|180.0|21.2015|2.4452|50.0251|1.3128
22|2020-08-07|14:24:06|4C38-41-20200807@142405-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1022.6862|1025.4263|R_Astrodon_2018|2459069.1000694446|180.0|21.1894|2.5595|49.3909|1.3254
23|2020-08-07|14:46:05|4C51-37-20200807@144600-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1031.3010|1019.5879|R_Astrodon_2018|2459069.115335648|180.0|21.5232|2.5028|51.4213|1.2841
24|2020-08-07|14:49:20|4C51-37-20200807@144919-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1031.2390|1019.9213|R_Astrodon_2018|2459069.1175925927|180.0|21.5277|2.4522|51.0099|1.2918
25|2020-08-07|15:02:24|CTA102-20200807@150219-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.1755|1023.2608|R_Astrodon_2018|2459069.1266666665|180.0|21.0952|2.5811|54.6794|1.2173
26|2020-08-07|15:05:39|CTA102-20200807@150538-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.4905|1023.2804|R_Astrodon_2018|2459069.1289236112|180.0|21.1215|2.5147|55.4059|1.2068
27|2020-08-07|15:32:36|ES2344+514-20200807@153231-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1028.6416|1057.3685|R_Astrodon_2018|2459069.147638889|180.0|21.6870|2.9927|44.9534|1.4072
28|2020-08-07|15:25:02|L-Lacertae-20200807@152457-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|935.8433|990.4930|R_Astrodon_2018|2459069.142384259|180.0|21.4981|2.5445|63.8260|1.1115
29|2020-08-07|15:28:17|L-Lacertae-20200807@152816-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|936.7240|992.2929|R_Astrodon_2018|2459069.144641204|180.0|21.4954|2.3589|64.2899|1.1072
30|2020-08-07|14:27:38|Mkn501-20200807@142737-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1023.7518|1018.4811|R_Astrodon_2018|2459069.102523148|180.0|21.3742|2.5608|51.9799|1.2763
31|2020-08-07|14:30:52|Mkn501-20200807@143051-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1023.9729|1019.1339|R_Astrodon_2018|2459069.1047685184|180.0|21.3677|2.5566|51.3717|1.2873
32|2020-08-07|15:16:59|PKS2155-304-20200807@151654-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1060.6360|1129.0274|R_Astrodon_2018|2459069.1367939813|180.0|21.0448|3.5624|31.9472|1.8697
33|2020-08-07|15:20:14|PKS2155-304-20200807@152013-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1059.4449|1130.9120|R_Astrodon_2018|2459069.139050926|180.0|21.0722|3.5534|32.2400|1.8550
34|2020-08-08|14:15:02|3C345-20200808@141501-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1030.1275|1023.5833|R_Astrodon_2018|2459070.093773148|180.0|20.7956|2.3858|51.5570|1.2838
35|2020-08-08|14:18:16|3C345-20200808@141816-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1030.6784|1024.8597|R_Astrodon_2018|2459070.0960185183|180.0|20.8507|2.4438|50.9482|1.2951
36|2020-08-08|14:30:03|3C371-20200808@142958-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1035.6653|1080.6050|R_Astrodon_2018|2459070.104201389|180.0|20.8137|2.4944|41.4753|1.5119
37|2020-08-08|14:33:18|3C371-20200808@143317-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1035.7951|1079.9918|R_Astrodon_2018|2459070.1064583333|180.0|20.4456|2.5089|41.3320|1.5163
38|2020-08-08|14:45:35|3C454-3-20200808@144534-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.6407|1032.6862|R_Astrodon_2018|2459070.1149884257|180.0|20.6672|2.1515|48.4420|1.3248
39|2020-08-08|14:48:50|3C454-3-20200808@144849-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1019.3392|1031.9368|R_Astrodon_2018|2459070.1172453705|180.0|20.7506|2.1792|49.1888|1.3100
40|2020-08-08|14:01:27|4C38-41-20200808@140126-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1027.6397|1017.0464|R_Astrodon_2018|2459070.0843402776|180.0|20.9774|2.4426|53.0281|1.2584
41|2020-08-08|14:04:42|4C38-41-20200808@140441-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1027.8935|1018.4449|R_Astrodon_2018|2459070.0865972224|180.0|20.6885|2.4475|52.3996|1.2692
42|2020-08-08|14:22:29|4C51-37-20200808@142224-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1037.9886|1023.3355|R_Astrodon_2018|2459070.0989467595|180.0|21.4483|2.4651|53.7966|1.2433
43|2020-08-08|14:25:45|4C51-37-20200808@142544-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1038.0856|1023.6928|R_Astrodon_2018|2459070.101215278|180.0|21.2799|2.4276|53.4167|1.2495
