ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-07-01|15:46:24|3C345-20210701_154624-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1019.4193|1023.2305|R_Astrodon_2018|2459397.157222222|180.0|21.0673|2.1484|62.2218|1.1340
2|2021-07-01|15:49:42|3C345-20210701_154942-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1018.5198|1023.0470|R_Astrodon_2018|2459397.159513889|180.0|21.0650|2.1795|61.6581|1.1401
3|2021-07-01|14:57:39|3C371-20210701_145734-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1226.8236|1090.7602|R_Astrodon_2018|2459397.1233680556|180.0|21.4437|2.4753|43.4814|1.4520
4|2021-07-01|15:00:58|3C371-20210701_150058-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1227.1586|1091.6231|R_Astrodon_2018|2459397.1256712964|180.0|21.4676|2.4838|43.5201|1.4511
5|2021-07-01|15:32:17|4C38-41-20210701_153211-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1039.9800|1055.8063|R_Astrodon_2018|2459397.1474189814|180.0|21.3303|2.3227|64.1072|1.1150
6|2021-07-01|15:35:36|4C38-41-20210701_153535-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1039.0029|1055.4495|R_Astrodon_2018|2459397.1497222222|180.0|21.3456|2.3757|63.5229|1.1207
7|2021-07-01|15:54:22|4C51-37-20210701_155416-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1036.9454|1040.5696|R_Astrodon_2018|2459397.1627546297|180.0|21.6427|2.1672|59.2782|1.1649
8|2021-07-01|15:57:40|4C51-37-20210701_155740-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1035.3205|1039.8963|R_Astrodon_2018|2459397.165046296|180.0|21.6492|2.0726|59.0487|1.1678
9|2021-07-01|15:06:01|BL-Lacertae-20210701_150555-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|948.5619|916.7069|R_Astrodon_2018|2459397.129178241|180.0|21.5056|2.8336|34.8672|1.7292
10|2021-07-01|15:09:19|BL-Lacertae-20210701_150919-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|948.5836|915.6041|R_Astrodon_2018|2459397.1314699072|180.0|21.5113|2.8298|35.4792|1.7037
11|2021-07-01|15:16:08|DA406-20210701_151602-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|922.7809|1090.9779|R_Astrodon_2018|2459397.136203704|180.0|21.4168|2.2278|64.6159|1.1106
