ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2020-12-01|12:41:11|3C454-3-20201201@124110-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1030.7337|1005.1838|R_Astrodon_2018|2459185.028599537|180.0|20.8985|2.8223|53.1470|1.2562
2|2020-12-01|12:44:25|3C454-3-20201201@124425-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1031.5878|1007.0021|R_Astrodon_2018|2459185.0308449073|180.0|20.9048|2.6951|52.4053|1.2688
3|2020-12-01|14:42:57|3C66A-20201201@144252-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1085.3584|1019.7754|R_Astrodon_2018|2459185.113159722|180.0|21.8092|2.3910|65.9820|1.0969
4|2020-12-01|14:46:14|3C66A-20201201@144613-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1085.9262|1019.3505|R_Astrodon_2018|2459185.115439815|180.0|21.8040|2.5741|65.5825|1.1004
5|2020-12-01|18:53:09|3C66A-20201201@185304-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1056.2907|1042.0571|R_Astrodon_2018|2459185.2869097223|180.0|21.5071|3.7555|23.1403|2.5602
6|2020-12-01|18:56:25|3C66A-20201201@185625-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1057.5036|1043.4923|R_Astrodon_2018|2459185.2891782406|180.0|21.5198|3.0707|22.5536|2.6229
7|2020-12-01|18:24:07|4C29-45-20201201@182402-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1026.3262|1052.3830|R_Astrodon_2018|2459185.266747685|180.0|21.4594|2.9976|26.3006|2.2140
8|2020-12-01|18:27:23|4C29-45-20201201@182722-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1026.8270|1051.4147|R_Astrodon_2018|2459185.269016204|180.0|21.4511|2.9671|26.9960|2.1630
9|2020-12-01|15:29:56|4C71-07-20201201@152951-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|974.4722|1113.1088|R_Astrodon_2018|2459185.145787037|180.0|21.6833|2.6069|29.8818|1.9942
10|2020-12-01|15:33:13|4C71-07-20201201@153313-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|974.7133|1113.9958|R_Astrodon_2018|2459185.14806713|180.0|21.7099|2.5606|30.1418|1.9788
11|2020-12-01|19:44:43|4C71-07-20201201@194439-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|1023.8618|1027.3553|R_Astrodon_2018|2459185.3227199074|180.0|21.7211|2.5131|42.5568|1.4790
12|2020-12-01|20:00:23|4C71-07-20201201@200018-R_Astrodon_2018_calib.fits|4C71-07|08 41 24.30|+70 53 42.0|130.3512|70.8950|1021.2633|1021.0587|R_Astrodon_2018|2459185.333599537|180.0|21.7379|2.3390|42.5627|1.4757
13|2020-12-01|14:34:23|AO0235+16-20201201@143418-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1024.8145|1022.4029|R_Astrodon_2018|2459185.1072106482|180.0|21.8884|2.3509|77.8279|1.0242
14|2020-12-01|14:37:39|AO0235+16-20201201@143738-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1026.2935|1022.0089|R_Astrodon_2018|2459185.1094791666|180.0|21.8881|2.3485|77.1856|1.0269
15|2020-12-01|18:45:22|AO0235+16-20201201@184518-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1024.6825|1023.4327|R_Astrodon_2018|2459185.2815046296|180.0|21.4497|3.3496|21.1928|2.7975
16|2020-12-01|18:48:38|AO0235+16-20201201@184837-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1027.9897|1022.3242|R_Astrodon_2018|2459185.283773148|180.0|21.4830|3.3206|20.4524|2.8939
